Month,CSA meaning: (United States),local eggs: (United States),local honey: (United States),local farms: (United States)
2019-01,8,9,42,21
2019-02,8,8,44,24
2019-03,6,7,61,24
2019-04,12,9,88,27
2019-05,9,7,73,27
2019-06,9,7,54,31
2019-07,9,7,45,29
2019-08,8,7,47,25
2019-09,9,7,49,29
2019-10,9,6,48,33
2019-11,8,8,44,30
2019-12,10,5,39,24
2020-01,10,7,51,20
2020-02,10,8,52,23
2020-03,9,17,63,39
2020-04,12,15,62,78
2020-05,12,12,65,72
2020-06,12,9,50,44
2020-07,14,8,49,45
2020-08,10,10,50,44
2020-09,10,10,49,50
2020-10,13,10,46,51
2020-11,10,5,42,40
2020-12,14,8,46,35
2021-01,16,8,44,27
2021-02,15,10,49,32
2021-03,16,12,70,34
2021-04,16,11,88,39
2021-05,15,8,79,38
2021-06,19,10,57,38
2021-07,16,8,54,35
2021-08,12,8,50,32
2021-09,17,8,55,36
2021-10,15,8,45,42
2021-11,16,8,51,40
2021-12,18,7,48,31
2022-01,24,10,54,34
2022-02,17,11,55,37
2022-03,17,13,74,41
2022-04,22,15,92,51
2022-05,19,15,84,44
2022-06,19,13,63,41
2022-07,23,10,55,39
2022-08,25,12,55,40
2022-09,19,14,53,38
2022-10,19,14,51,42
2022-11,17,12,52,43
2022-12,20,13,61,35
2023-01,19,35,51,43
2023-02,21,23,69,44
2023-03,25,15,78,41
2023-04,27,16,100,48
2023-05,21,14,94,47
2023-06,24,9,74,42
2023-07,25,11,58,38
2023-08,23,11,55,44
2023-09,16,13,72,48
2023-10,17,13,67,46
2023-11,16,12,65,48
2023-12,22,10,68,37
2024-01,20,19,67,48
2024-02,17,17,69,44
2024-03,0,0,0,0
